2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06051_06100.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06101_06150.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06151_06200.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06201_06250.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06251_06300.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06301_06350.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06351_06400.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06401_06450.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06451_06500.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06501_06550.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06551_06600.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06601_06650.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06651_06700.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06701_06750.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06751_06800.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06801_06850.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06851_06900.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06901_06950.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06951_07000.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07001_07050.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07051_07100.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07101_07150.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07151_07200.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07201_07250.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07251_07300.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07301_07350.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07351_07400.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07401_07450.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07451_07500.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07501_07550.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07551_07600.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07601_07650.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07651_07700.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07701_07750.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07751_07800.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07801_07850.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07851_07900.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07901_07950.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_07951_08000.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08001_08050.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08051_08100.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08101_08150.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08151_08200.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08201_08250.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08251_08300.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08301_08350.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08351_08400.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08401_08450.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08451_08500.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08501_08550.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08551_08600.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08601_08650.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08651_08700.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08701_08750.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08751_08800.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08801_08850.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08851_08900.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08901_08950.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_08951_09000.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09001_09050.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09051_09100.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09101_09150.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09151_09200.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09201_09250.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09251_09300.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09301_09350.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09351_09400.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09401_09450.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09451_09500.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09501_09550.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09551_09600.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09601_09650.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09651_09700.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09701_09750.parquet (50 phrases)
2025-08-15 21:29:10 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_09751_09800.parquet (50 phrases)
